"country","iso_code","continent","cases","inf_rate","deaths","death_rate","population","pop_density","median_age","pct_over_65","pct_over_70","life_expectancy","gdp_pc","pct_extreme_poverty","pct_diabetes","pct_male_smokers","pct_female_smokers","pct_pop_access_handwash","hospital_beds_per_thousand","response","bci_bci","bci_bcistd","ciri_assn","ciri_dommov","ciri_elecsd","ciri_speech","cspf_sfi","fh_aor","fh_cl","fh_feb","fh_fog","fh_pair","fh_polity2","fh_ppp","fh_pr","fhp_mcei5","fhp_status5","fi_index","gpi_gpi","p_durable","undp_hdi","vdem_polyarchy","voh_gti","wbgi_gee","wbgi_pve","wbgi_rle","wbgi_rqe","wdi_acel","wdi_chexppgdp","wdi_dgovhexp","wdi_dprivhexp","wdi_export","wdi_fdiin","wdi_fdiout","wdi_fertility","wdi_gdpcapgr","wdi_gdppppcur","wdi_gini","wdi_imig","wdi_import","wdi_incsh10h","wdi_inflation","wdi_lifexp","wdi_migration","wdi_ophexp","wdi_pop","wdi_popgr","wdi_popurb","wdi_unempilo","who_halet","who_infmortt","who_let","wdi_smop","epi_h2o"
"Romania","ROU","Europe",3233467,3323.19321685509,66810,68.6639260020555,19328560,85.129,43,17.85,11.69,76.05,23313.199,5.7,9.74,37.1,22.9,NA,6.892,11.11,51.439983,2.3051729,1,2,1,1,3,11,2,13,9,12,8.916666,14,2,13,2,7.88,1.53,22,0.828,0.76,0,-0.22054894,0.58921748,0.36886805,0.3826097,100,5.55660582,4.42809868,20.30929184,37.25760476446,2.94975352664824,0.228745915189087,1.76,-3.43303455730472,616109657205.029,35.8,1.16313480315329,41.7215575442841,24.9,2.63107311184752,75.4585365853659,-369997,19.45757103,19286123,-0.442473206930647,54.194,4.84,66.8,5.7,75.6,51,55.900002
"Russia","RUS","Europe",19568544,20111.556012333,377180,387.646454265159,145102755,8.823,39.6,14.178,9.393,72.58,24765.954,0.1,6.18,58.3,23.4,NA,8.05,38.43,55.534798,2.408015,0,2,0,0,9,3,6,3,2,7,3.9166667,3,7,24,3,6.7,3.001,18,0.824,0.261,4.542,0.033416867,-0.73146474,-0.76028311,-0.4377571,100,5.31590033,3.16065264,40.54341888,25.5231826070911,1.89485898487827,0.357118834557129,1.504,-2.7715653324851,4133083560983.54,37.5,8.11621785991527,20.559897484321,29.9,3.38165937237896,73.0839024390244,912279,38.31166458,144104080,-0.209476796881133,74.754,5.73,64.2,4.9,73.2,56.6,55.400002
"Rwanda","RWA","Africa",132466,136.141829393628,1466,1.50668036998972,13461888,494.869,20.3,2.974,1.642,69.02,1854.211,56,4.28,21,4.7,4.617,NA,18.47,22.871956,1.8150541,1,1,0,0,15,2,6,3,4,6,2.5833333,2,6,22,3,7.35,1.998,24,0.543,0.212,3.754,0.34212819,0.032520726,0.1073663,0.15640134,37.7824363708496,7.54268694,2.3743403,37.83691406,19.0302880690357,3.7124644727321,0.0071770874566318,3.99,-5.78252238248137,28675688047.1216,43.7,3.80308098441419,35.3133815132779,35.6,9.85039902274209,69.024,-44998,10.51792812,12952209,2.54338844179175,17.432,1.35,60.2,26.3,NA,26.6,16.9
"Saint Helena","SHN","Africa",7,0.00719424460431655,NA,NA,5404,NA,NA,NA,NA,80.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Kitts and Nevis","KNA","North America",6524,6.70503597122302,46,0.0472764645426516,47606,212.865,NA,NA,NA,76.23,24654.385,NA,12.84,NA,NA,NA,2.3,NA,30.431377,4.5516982,2,2,1,2,NA,12,1,16,10,13,NA,15,2,7,1,NA,NA,NA,0.779,NA,NA,0.69685078,0.93389332,0.5296315,0.52940375,100,5.31148005,2.47085404,53.48087692,NA,8.83178762869374,-0.046951169108767,NA,-11.3441178903462,1305153584.70327,NA,13.3934355430792,NA,NA,-0.329562063663904,NA,NA,48.54007339,53192,0.675308623400813,30.843,NA,NA,12.9,NA,NA,NA
"Saint Lucia","LCA","North America",28894,29.6957862281603,391,0.401849948612539,179652,293.187,34.9,9.721,6.405,76.2,12951.839,NA,11.62,NA,NA,87.202,1.3,NA,23.716366,3.98505,2,2,2,1,NA,12,1,15,10,14,NA,16,1,4,1,NA,NA,NA,0.759,NA,NA,0.15282372,0.87240118,0.62339097,0.28828093,99.5477752685547,4.39812708,2.07827044,52.41676712,NA,1.44364916257425,0.38044770992902,1.424,-20.5739296871927,2376861078.49922,51.2,6.90328055827329,NA,38.6,0.53910008997241,76.203,0,46.32751846,183629,0.45521114346163,18.841,17.13,64.7,20,74.3,NA,45.400002
"Saint Pierre and Miquelon","SPM","North America",3131,3.21788283658787,1,0.00102774922918808,5883,NA,NA,NA,NA,81.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Vincent and the Grenadines","VCT","North America",9430,9.69167523124358,115,0.118191161356629,104332,281.787,31.8,7.724,4.832,72.53,10727.146,NA,11.62,NA,NA,NA,2.6,NA,24.107759,4.0090418,2,2,1,1,NA,12,1,15,10,14,NA,15,1,7,1,NA,NA,NA,0.738,NA,NA,0.15282372,1.0345335,0.56505257,0.26443022,100,4.47178459,3.05141592,31.36499596,27.1743313450067,13.7097281227305,-0.75786426195784,1.872,-3.03849093970528,1416809747.34817,NA,4.18135974128008,58.0286703867616,NA,0.913069725324485,72.534,-1000,28.41354942,110947,0.319581386016186,53.032,20.27,64,13.4,73.2,NA,43.5
"Samoa","WSM","Oceania",15839,16.27852004111,29,0.0298047276464543,218764,69.413,22,5.606,3.564,73.32,6021.557,NA,9.21,38.1,16.7,NA,NA,NA,36.056293,3.8780389,2,2,1,1,NA,11,2,14,9,12,NA,12,2,9,1,NA,NA,NA,0.715,NA,NA,0.52346832,1.1557372,0.87975138,-0.20066878,99.2,5.21262693,3.76377249,12.59674168,31.7337315332032,0.119604491554448,0.572447768965427,3.83,-3.38813989111533,1335852305.42472,38.7,2.55087254435175,51.0773502879687,31.3,-1.568912477409,73.321,-14013,11.78739738,198410,0.665989824539763,17.889,8.87,62.1,12.9,70.5,57.7,49.200001
"San Marino","SMR","Europe",20456,21.0236382322713,118,0.121274409044193,33746,556.667,NA,NA,NA,84.97,56861.47,NA,5.64,NA,NA,NA,3.8,13.89,NA,NA,2,2,2,2,NA,12,1,15,11,15,NA,15,1,7,1,NA,NA,NA,NA,NA,NA,NA,0.87713003,0.93540269,NA,100,7.14421701,5.99624014,16.0686264,163.997239164221,NA,NA,1.26,2.13285251799644,2147665958.107,NA,14.8422013152513,143.267538916062,NA,1.04597683468952,85.4170731707317,NA,15.11500931,33938,0.218282733201192,97.499,NA,NA,1.5,NA,NA,NA
