"country","iso_code","continent","cases","inf_rate","deaths","death_rate","population","pop_density","median_age","pct_over_65","pct_over_70","life_expectancy","gdp_pc","pct_extreme_poverty","pct_diabetes","pct_male_smokers","pct_female_smokers","pct_pop_access_handwash","hospital_beds_per_thousand","response","bci_bci","bci_bcistd","ciri_assn","ciri_dommov","ciri_elecsd","ciri_speech","cspf_sfi","fh_aor","fh_cl","fh_feb","fh_fog","fh_pair","fh_polity2","fh_ppp","fh_pr","fhp_mcei5","fhp_status5","fi_index","gpi_gpi","p_durable","undp_hdi","vdem_polyarchy","voh_gti","wbgi_gee","wbgi_pve","wbgi_rle","wbgi_rqe","wdi_acel","wdi_chexppgdp","wdi_dgovhexp","wdi_dprivhexp","wdi_export","wdi_fdiin","wdi_fdiout","wdi_fertility","wdi_gdpcapgr","wdi_gdppppcur","wdi_gini","wdi_imig","wdi_import","wdi_incsh10h","wdi_inflation","wdi_lifexp","wdi_migration","wdi_ophexp","wdi_pop","wdi_popgr","wdi_popurb","wdi_unempilo","who_halet","who_infmortt","who_let","wdi_smop","epi_h2o"
"Somalia","SOM","Africa",27020,27.7697841726619,1361,1.39876670092497,17065581,23.5,16.8,2.731,1.496,57.4,NA,NA,6.05,NA,NA,9.831,0.9,32.41,72.791504,4.0672779,-77,-77,-77,-77,20,3,7,3,0,0,3.75,1,7,20,3,6.67,3.177,6,NA,0.159,7.645,-2.0935707,-2.5187314,-2.2997453,-2.0634961,36.0331954956055,NA,NA,NA,14.2847616969377,9.0443372092962,NA,5.978,-4.28616488377753,13909262102.9105,36.8,0.234455883618068,105.425445632289,NA,NA,57.397,-200002,NA,15893219,2.87428009490378,46.141,13.1,49.7,74,56.5,NA,NA
"South Africa","ZAF","Africa",4013446,4124.81603288798,102129,104.963001027749,59392255,46.754,27.3,5.344,3.053,64.13,12294.876,18.9,5.52,33.2,8.1,43.993,2.32,11.11,52.165779,2.3292689,2,2,1,1,8,12,2,15,8,10,8.916666,13,2,10,2,6.97,2.33,24,0.709,0.701,4.358,0.2993964,-0.23685843,-0.11541659,0.20390867,85,8.25342083,4.46094179,44.06690979,30.4669596274857,1.45578762030403,-0.649102295410471,2.381,-8.13682911771798,717389390965.917,63,5.76709044891315,25.5305082562632,50.5,3.22388504206686,64.131,727026,7.72466898,59308690,1.27335626330668,67.354,28.74,56.2,27.5,65.3,62.8,24.6
"South America","OWID_SAM","",63630045,65395.7297019527,1325971,1362.76567317575,433956670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Korea","KOR","Asia",23864560,24526.7831449126,27313,28.070914696814,51830139,527.967,43.4,13.914,8.622,83.03,35938.374,0.2,6.8,40.9,6.2,NA,12.27,13.89,41.976601,2.116358,1,1,2,1,0,11,2,14,9,13,8.666666,13,2,9,2,7.61,1.814,30,0.916,0.859,0.656,1.4158689,0.55919695,1.1831634,1.0332974,100,7.56259203,4.42084885,41.54320526,36.8974267959481,0.585053169673544,1.99197803720008,0.918,-1.09449003097011,2233000947793.73,31.4,2.63915935436429,33.1809523631366,24,0.537258392675479,83.2268292682927,58657,32.50151062,51780579,0.138141336294406,81.414,4.07,73.1,2.7,83.3,44.1,90.699997
"South Sudan","SSD","Africa",17823,18.3175745118191,138,0.141829393627955,10748272,NA,19.2,3.441,2.032,57.85,1569.888,NA,10.43,NA,NA,NA,NA,16.25,58.75798,5.44765,2,2,1,1,22,2,7,2,0,0,2.5,1,7,18,3,NA,3.396,0,0.433,0.191,5.726,-2.3444104,-2.1683068,-1.9250295,-2.1809909,6.72053527832031,6.40037966,0.68977404,26.88306618,36.6513492804707,0.0012502291294692,-0.0085849066890218,4.619,-12.1317983603027,13230895757.7817,44.1,6.67856203968099,28.8999999040295,NA,29.6758435538571,57.846,-870998,21.99826813,11193729,1.18275937083062,20.199,12.66,53.7,62.4,62.8,NA,NA
"Spain","ESP","Europe",13358722,13729.4162384378,112923,116.056526207605,47486935,93.105,45.5,19.436,13.799,83.56,34272.36,1,7.17,31.4,27.4,NA,2.97,23.61,45.260323,2.2432189,2,2,2,1,1,11,1,14,9,15,10,16,1,8,1,7.89,1.663,40,0.904,0.886,2.81,0.89495373,0.39526764,0.90196121,0.76769632,100,8.97741413,6.32039309,29.59672737,30.631596026738,1.06303804790221,3.19196801205526,1.24,-11.2495189871117,1815203917494.41,34.7,12.6902371918259,29.1407312841781,25.3,-0.322671032810725,83.4853658536585,200000,22.16453934,47351567,0.461546666660309,80.81,15.67,72.1,2.6,83.2,55.8,96.800003
"Sri Lanka","LKA","Asia",670297,688.897225077081,16719,17.1829393627955,21773441,341.955,34.1,10.069,5.331,76.98,11669.077,0.7,10.68,27,0.3,NA,3.6,36.11,49.053326,2.167912,0,1,1,0,11,9,4,8,5,8,6.916667,10,4,19,3,6.78,1.987,0,0.782,0.606,6.065,-0.070210099,-0.046537451,-0.045249868,-0.1790705,100,3.75841475,1.54440343,56.66934967,16.5835642765473,0.902865600702623,0.0921253295648637,2.188,-4.0794090524288,289887735504.453,39.3,0.186850018416597,22.9398155039189,32.6,6.15394508391743,76.978,-489932,50.65418625,21919000,0.530626559530355,18.713,4.84,67,6.1,76.9,45.9,48.400002
"Sudan","SDN","Africa",63270,65.0256937307297,4961,5.09866392600206,45657202,23.258,19.7,3.548,2.034,65.31,4466.507,NA,15.67,NA,NA,23.437,0.8,8.33,57.506443,3.881274,0,1,1,0,21,4,6,7,0,3,1.5,4,7,24,3,4.19,2.964,7,0.51,0.188,5.401,-1.4864801,-1.7631556,-1.0674833,-1.6060176,53.8270721435547,4.51304483,1.03099167,69.54103851,5.12531269410863,2.55920471531464,0,4.347,-3.88796454894189,186086735693.148,34.2,1.2513445422805,4.82983238043042,27.8,150.322723865569,65.311,-250001,66.21854401,43849269,2.39107177389208,35.253,17.71,59.9,41,69.1,NA,22.299999
"Suriname","SUR","South America",81057,83.306269270298,1384,1.4224049331963,612984,3.612,29.6,6.933,4.229,71.68,13767.119,NA,12.54,42.9,7.4,67.779,3.1,21.3,53.798836,3.1417389,2,2,2,1,5,11,2,15,9,10,7.5,14,2,7,1,6.14,NA,27,0.738,0.737,NA,-0.5390079,0.41554177,-0.10751554,-0.77007639,97.8873519897461,7.96947193,5.25434208,32.13092804,64.2975207404216,1.71514797408267,2.17808375841705,2.394,-15.2682311287788,9982140842.24917,NA,8.62581150145034,37.2985496867152,NA,34.9033131851852,71.682,-4999,19.87356377,586634,0.902576938680272,66.149,8.65,62.4,16.1,71.5,NA,39.299999
"Sweden","SWE","Europe",2569152,2640.44398766701,19904,20.4563206577595,10467097,24.718,41,19.985,13.433,82.8,46949.283,0.5,4.79,18.9,18.8,NA,2.22,11.11,15.49928,1.8176351,2,2,2,1,0,12,1,16,12,16,10,16,1,4,1,7.72,1.471,101,0.945,0.905,2.892,1.7191014,1.0228931,1.8063881,1.682474,100,10.8985014,9.27377033,14.90784168,44.2313350983015,3.12671584104334,5.44155242436686,1.7,-3.51762717860869,564916112880.245,30,16.7675587503806,39.8502853549179,22.9,0.497367318853562,82.9585365853659,200000,13.77560043,10353442,0.722703912882934,87.977,8.45,71.9,2.1,82.4,57.5,98.5
"Switzerland","CHE","Europe",4059532,4172.18088386434,13986,14.3741007194245,8691406,214.243,43.1,18.436,12.644,83.78,57410.166,NA,5.59,28.9,22.6,NA,4.53,5.56,13.296892,1.832451,2,2,2,1,1,12,1,15,12,15,10,15,1,5,1,8.48,1.347,170,0.955,0.892,0.286,2.0200977,1.1919688,1.8281678,1.5903161,100,11.87620926,3.70784402,68.77922821,63.1538223677737,5.10110977456145,-9.51312689732852,1.48,-3.56317985200117,616262848753.124,33.1,29.3866855419963,52.8612831572045,25.8,-0.725874933313391,83.7048780487805,259999,27.98195267,8636896,0.715961342750833,73.915,4.94,72.5,3.6,83.4,50.3,100
"Syria","SYR","Asia",57129,58.7142857142857,3163,3.25077081192189,21324367,NA,21.7,NA,2.577,72.7,NA,NA,NA,NA,NA,70.598,1.5,26.85,61.282486,3.9928679,0,0,0,0,14,0,7,3,0,1,0.25,0,7,23,3,5.19,3.404,55,0.567,0.139,7.778,-1.729342,-2.7314181,-2.0721576,-1.8616495,89.3248825073242,3.5656538,1.61476469,53.6898613,NA,NA,NA,2.771,NA,NA,NA,4.73013438841734,NA,NA,36.7022953364139,72.697,-2136954,53.6898613,17500657,2.49081534407701,55.475,9.03,62.9,17.9,72.7,NA,NA
"Taiwan","TWN","Asia",5544974,5698.84275436793,10141,10.4224049331963,23859912,NA,42.2,NA,8.353,80.46,NA,NA,NA,NA,NA,NA,NA,26.85,30.150068,1.832638,1,2,2,1,1,11,1,16,11,14,10,15,1,8,1,8.02,1.682,26,NA,0.817,0.607,1.5859026,0.7660569,1.2705753,1.3708484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.400002
"Tajikistan","TJK","Asia",17786,18.2795477903392,125,0.12846865364851,9750064,64.281,23.3,3.466,2.155,71.1,2896.913,4.8,7.11,NA,NA,72.704,4.8,8.33,42.40921,2.0902841,1,1,0,1,11,2,6,1,0,4,2.1666667,0,7,26,3,6.5,2.13,20,0.668,0.177,4.18,-0.71004641,-0.51787716,-1.2179846,-1.017401,99.6353912353516,7.2394805,1.95795763,68.61607361,17.0493454655518,2.56373022995454,0.858355765388803,3.556,2.12659470706988,36800318446.375,34,3.24291089626031,38.2221633687715,26.4,6.00458082322154,71.097,-99999,68.41996002,9537642,2.29738984750059,27.506,7.5,62,29.6,69.5,NA,30.9
"Tanzania","TZA","Africa",39168,40.2548818088386,845,0.868448098663926,63588334,64.699,17.7,3.108,1.874,65.46,2683.304,49.1,5.75,26.7,3.3,47.953,0.7,8.33,57.158844,2.402396,1,2,1,0,10,4,5,7,4,7,5.333333,5,5,15,2,6.75,1.83,3,0.529,0.409,3.112,-0.77279872,-0.4095079,-0.60318708,-0.65751302,37.7,3.62868047,1.55844319,24.81453323,14.2954786493941,1.62034155982694,NA,4.832,-0.942878844774654,161177278879.171,40.5,0.488535530485828,15.3087527040032,33.1,3.29029062798326,65.456,-200381,23.98066139,59734213,2.93677770402726,35.227,2.16,58.5,36,67.3,26.6,18.4
"Thailand","THA","Asia",4664156,4793.58273381295,32483,33.3843782117163,71601103,135.132,40.1,11.373,6.89,77.15,16277.671,0.1,7.04,38.8,1.9,90.67,2.1,29.63,50.359272,2.173878,1,2,1,0,8,4,5,6,2,10,2.5833333,2,7,17,3,6.87,2.225,4,0.777,0.194,5.783,0.30070049,-0.62454486,0.1213088,0.18339521,99.9,3.79303908,2.89305043,23.39257813,51.4299636993417,0.884981572736617,3.59725574547773,1.514,-6.32186372640497,1272884691362.42,34.9,5.75823265195895,46.4996130362432,27.2,-0.845937147357037,77.15,97222,11.01141357,69799978,0.250165166562935,51.43,1.02,68.3,7.7,77.7,45.6,55.799999
"Timor","TLS","Asia",23204,23.8478931140802,138,0.141829393627955,1320942,87.176,18,3.556,1.897,69.5,6570.102,30.3,6.86,78.1,6.3,28.178,5.9,15.13,55.792984,3.163831,2,2,2,2,7,8,3,14,8,9,8.25,14,2,13,2,6.19,1.843,16,0.606,0.66,0,-0.80157,0.17746603,-1.1725153,-0.77588689,94.716178894043,4.32635784,2.62370276,11.36020279,28.1520734493142,3.69589190474829,-38.1036532125206,3.943,-10.4560075441305,4424466638.85664,28.7,0.914442948601621,55.5369082367733,24,0.958812739703201,69.495,-26924,7.0929842,1318442,1.9392833553798,31.32,5.06,60.9,38.1,69.6,76.5,25.9
"Togo","TGO","Africa",38564,39.634121274409,283,0.290853031860226,8644829,143.366,19.4,2.839,1.525,61.04,1429.813,49.2,6.15,14.2,0.9,10.475,0.7,33.33,62.673386,4.2517781,0,1,0,1,13,6,4,9,5,7,4.083333,6,5,20,2,6.35,2.178,25,0.515,0.418,0,-0.69093299,-0.92499137,-0.66093874,-0.59082967,52.4410972595215,6.16532087,1.05069971,66.1565094,21.8295360349223,4.7877925668892,0.593356483470846,4.259,-0.660853834278797,18408860295.8424,43.1,3.79000676014412,31.1196200606718,31.6,1.82754038520035,61.042,-9999,56.31594086,8278737,2.40066351625992,42.8,4.05,56.2,45.8,64.3,15.1,5.0999999
"Tokelau","TKL","Oceania",NA,NA,NA,NA,1849,NA,NA,NA,NA,81.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tonga","TON","Oceania",16182,16.6310380267215,12,0.0123329907502569,106017,150.028,22.3,5.82,4.032,70.91,5425.621,NA,15.42,44.4,11.8,NA,2.6,48.61,50.743519,4.0039978,2,2,1,1,NA,10,2,14,7,13,NA,14,2,10,1,NA,NA,NA,0.725,NA,NA,0.15639143,1.0190668,0.43896928,-0.39499286,98.4,5.09657621,3.22333765,14.02248001,21.0516576302175,0.340082735123456,0.281807923399344,3.518,-0.517228592727164,694681321.766556,37.6,5.39794668927192,66.5575437146872,29.7,7.44224546617505,70.907,-3999,10.1989603,105697,1.14181474007885,23.099,4.37,64,14.3,72.6,60.5,46.400002
"Trinidad and Tobago","TTO","North America",180549,185.559095580678,4166,4.28160328879753,1525663,266.886,36.2,10.014,5.819,73.51,28763.071,NA,10.97,NA,NA,89.443,3,11.11,57.103981,2.3205731,2,2,2,1,3,11,2,16,9,13,9.166666,13,2,7,1,7.27,2.028,56,0.796,0.755,0.162,0.17991082,0.17756352,-0.12562154,-0.13895716,100,6.93182945,3.4165163,50.70035934,NA,0.792701554276517,0.49188809370715,1.711,-8.12968781118452,35030928145.4721,NA,3.66763032980219,NA,NA,0.598986330824747,73.507,-3999,43.92116547,1399491,0.323640628033623,53.214,6.74,66.2,15.7,76.1,NA,53.400002
"Tunisia","TUN","Africa",1144824,1176.59198355601,29238,30.049331963001,12262946,74.228,32.7,8.001,5.075,76.7,10849.297,2,8.52,65.8,1.1,78.687,2.3,41.59,45.412651,2.2291629,1,0,1,1,4,8,3,12,6,10,8,14,2,18,2,5.97,2.084,4,0.74,0.727,3.858,-0.20391592,-0.63395172,0.13751338,-0.36492229,100,7.29209566,4.18335724,42.19874573,48.6242294652975,2.06699490028647,0.0556438435341726,2.174,-9.55847200323369,121279004127.939,32.8,0.503849717164906,59.2898843299157,25.6,5.63415115897623,76.699,-20000,38.89081955,11818618,1.05385412657395,69.568,16.69,66.9,14.5,77,52,52.599998
"Turkey","TUR","Asia",16797750,17263.874614594,100840,103.638232271326,84775404,104.914,31.6,8.153,5.061,77.69,25129.341,0.2,12.13,41.1,14.1,NA,2.81,13.89,40.553398,2.0945539,0,2,1,1,9,3,6,5,3,5,2.75,8,5,16,3,6.54,2.898,2,0.82,0.286,6.11,-0.044045087,-1.18776,-0.35862163,-0.010659666,100,4.12414074,3.1913538,22.61772919,28.5692307413065,1.21692369712397,0.443271021498157,2.055,0.65937038115527,2371568433934.68,41.9,3.76900110251173,32.3251497818377,31.6,12.2789574462574,77.691,1419610,17.49141884,84339067,1.08419395235039,76.105,13.92,68.4,8.6,78.6,58.5,52.599998
"Turkmenistan","TKM","Asia",NA,NA,NA,NA,6341855,12.253,26.9,4.277,2.541,68.19,16389.023,NA,7.11,NA,NA,100,7.4,NA,69.485458,4.0151548,0,0,0,0,8,0,7,0,0,2,0.5,0,7,30,3,NA,2.172,27,0.715,0.152,0,-1.1575029,-0.28908166,-1.406723,-1.992943,99.9,6.60540628,1.19694495,81.42755127,22.6638117732813,4.78840171183122,NA,2.74,4.66863745339606,96235413857.3095,NA,3.65471158287463,12.4958823653095,NA,NA,68.191,-25001,76.33833313,6031187,1.48822439500971,52.516,4.38,62.1,36.3,69.7,NA,47.299999
"Turks and Caicos Islands","TCA","North America",6372,6.54881808838643,36,0.0369989722507708,45114,37.312,NA,NA,NA,80.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tuvalu","TUV","Oceania",NA,NA,NA,NA,11204,373.067,NA,NA,NA,67.57,3575.104,3.3,27.25,NA,NA,NA,NA,NA,45.894222,4.2451959,2,2,2,0,NA,12,1,16,10,13,NA,15,1,13,1,NA,NA,NA,NA,NA,NA,-0.65139657,1.1825833,0.52695888,-0.49173996,100,19.04735947,15.21263409,3.87021589,NA,0.632225155617794,0,NA,3.18707598371779,54870931.3693917,39.1,1.42194433239209,NA,30.7,0.500580743152696,NA,NA,0.5130856,11792,1.16860629592603,64.014,NA,NA,20.2,NA,97.4,NA
"Uganda","UGA","Africa",169396,174.096608427544,3628,3.72867420349435,45853778,213.759,16.4,2.168,1.308,63.37,1697.707,41.6,2.5,16.7,3.4,21.222,0.5,13.89,63.990948,2.5624809,0,2,1,1,14,4,5,8,3,7,3.5,5,6,15,2,7.42,2.221,13,0.544,0.31,3.278,-0.57694399,-0.78044915,-0.32888636,-0.4310607,41.3,6.52623558,1.03315341,41.06859207,15.0478229492243,3.59973114065307,0.0009756944991307,4.824,-0.451178530965777,105075250203.462,42.8,1.92012616805897,19.7227157652467,34.2,3.7944227490438,63.368,843469,38.38415527,45741000,3.26971334741299,24.954,2.44,58.2,33.4,66.7,19.5,17.6
"Ukraine","UKR","Europe",5361560,5510.33915724563,116681,119.918807810894,43531422,77.39,41.4,16.462,11.133,72.06,7894.393,0.1,7.11,47.4,13.5,NA,8.8,65.33,62.883316,2.581295,1,2,1,1,9,7,4,11,5,10,6.416667,12,3,15,2,6.2,2.88,27,0.779,0.544,4.692,-0.35565236,-1.1640594,-0.67003787,-0.29584819,100,7.72391653,3.70307088,51.04913712,39.0405145129994,3.78939704827761,0.232674717973001,1.228,-3.37097729489649,545057054931.034,26.6,10.7864611551484,40.092634847698,22.3,2.7324920941942,71.8273170731707,50001,49.34706497,44134693,-0.568251538691365,69.608,9.48,64.3,7.2,73,50.9,55.099998
"United Arab Emirates","ARE","Asia",1018381,1046.64028776978,2342,2.40698869475848,9365144,112.442,34,1.144,0.526,77.97,67293.483,NA,17.26,37.4,1.2,NA,1.2,34.94,13.843651,1.726387,0,0,0,0,5,2,6,3,2,4,0.91666663,2,7,23,3,7.28,1.901,47,0.89,0.1,0,1.3255031,0.6264683,0.91694188,1.0834037,100,4.22590351,2.17965603,48.42153931,92.4562533364679,3.2738262078469,3.77571052667265,1.387,0.225378640762727,683522726303.177,26,88.4040483728066,68.4798395482329,20,-2.0794031794094,77.972,200000,12.69611263,9890400,1.21942868246666,87.048,5,66,6.4,76.1,36.4,67.199997
"United Kingdom","GBR","Europe",23521792,24174.5035971223,205288,210.984583761562,67281040,272.898,40.8,18.517,12.527,81.32,39753.244,0.2,4.28,24.7,20,NA,2.54,11.11,15.780937,1.824522,2,2,2,2,1,12,1,14,11,15,9.5,16,1,7,1,8.15,1.733,138,0.932,0.872,5.161,1.376632,0.4743571,1.4969355,1.4810545,100,9.99696255,7.85798359,21.38322067,27.3663507160616,0.0790117558836187,-1.30499417540552,1.65,-10.2988512781704,3019057448228.85,35.1,13.200978246274,27.7241566088505,26.7,0.98948670377243,81.2048780487805,1303250,16.70836067,67215293,0.565404594994568,83.903,4.34,70.1,3.7,81.4,38.4,100
"United States","USA","North America",94995356,97631.4039054471,1049075,1078.18602261048,336997624,35.608,38.3,15.413,9.732,78.86,54225.446,1.2,10.79,24.6,19.1,NA,2.77,27.04,28.216192,1.811766,1,2,2,2,4,10,2,15,8,15,7.9166665,14,2,5,1,8.24,2.27,150,0.926,0.815,5.26,1.318942,-0.022032728,1.3680863,1.2446592,100,16.88529778,8.51236343,49.5871315,11.7329568254467,1.64058840874849,0.731995643991861,1.705,-3.82422383654213,2.09366e+13,41.4,14.4906535240608,14.5811983226091,30.8,1.23358439630637,78.7878048780488,4774029,10.80886078,329484123,0.350911063312921,82.664,8.31,66.1,5.6,78.5,50.2,86.099998
"United States Virgin Islands","VIR","North America",NA,NA,NA,NA,100091,306.48,42.2,18.601,10.799,80.58,NA,NA,12.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Upper middle income","OWID_UMC","",141478819,145404.74717369,2569216,2640.50976361768,2501427940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uruguay","URY","South America",981186,1008.41315519013,7455,7.66187050359712,3426260,19.751,35.6,14.655,10.361,77.91,20551.409,0.1,6.93,19.9,14,NA,2.8,13.89,29.933048,1.9220099,2,2,2,2,2,12,1,16,12,15,10,16,1,8,1,7.36,1.701,33,0.817,0.865,0.086,0.78188884,1.0506735,0.67865914,0.58208901,99.9,9.20269966,6.71492577,27.01680946,25.3732710523544,2.13281680063876,0.306906873688465,1.963,-6.18382416027808,79183811046.4796,39.7,2.09231674852946,20.9950368848669,29.7,9.75640636078191,77.911,-15000,16.9604454,3473727,0.345932798178836,95.515,12.67,67.5,6.1,77.1,43.6,70.800003
"Uzbekistan","UZB","Asia",243893,250.660842754368,1637,1.68242548818088,34081449,76.134,28.2,4.469,2.873,71.72,6253.104,NA,7.57,24.7,1.3,NA,4,5.56,53.661701,4.0944948,1,0,0,0,11,1,6,3,1,4,0.66666663,0,7,28,3,NA,2.059,27,0.72,0.227,0.01,-0.507029,-0.43657446,-1.0628171,-0.94490653,100,5.29149055,2.01971412,61.02040482,26.3114607068744,4.01285587276038,0.0030206073035137,2.785,-0.287344654975257,252572784500.07,NA,3.91690323992971,36.7344632310388,NA,NA,71.725,-44314,60.34236145,34232050,1.92212652692564,50.416,5.97,64.7,15.6,73,24.6,52
"Vanuatu","VUT","Oceania",11902,12.2322713257965,14,0.0143884892086331,319136,22.662,23.1,4.394,2.62,70.47,2921.909,13.2,12.02,34.5,2.8,25.209,NA,13.89,52.004765,4.0660748,2,2,1,2,NA,11,2,14,8,11,NA,15,2,8,1,NA,NA,NA,0.609,0.745,NA,-0.46133783,0.89663863,0.23971331,-0.42960382,64.6662368774414,3.37372637,2.1413815,13.15164757,23.2717326150277,3.73788217193338,0.204812751929708,3.744,-11.3830661550599,895191830.383631,37.6,1.20422290404002,46.8486583076574,29.4,2.76252019386107,70.474,600,8.99114323,307150,2.39471636629146,25.525,1.95,57.8,21.9,65.3,48.3,21.5
"Vatican","VAT","Europe",29,0.0298047276464543,NA,NA,511,NA,NA,NA,NA,75.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Venezuela","VEN","South America",543204,558.277492291881,5804,5.96505652620761,28199866,36.253,29,6.614,3.915,72.06,16745.022,NA,6.47,NA,NA,NA,0.8,13.89,74.123535,2.8805211,1,2,1,0,14,2,6,6,0,4,2.1666667,1,7,24,3,2.83,2.919,1,0.711,0.209,3.658,-1.7802751,-1.5178657,-2.3461046,-2.2344193,100,3.56269026,1.70465469,52.12306213,16.6938273502942,0.23530176692753,0.940377810381739,2.25,-4.73227475653157,506339379526.118,NA,4.51473657184212,31.3969861752704,NA,254.948534781815,72.064,-3266243,38.19706345,28435943,-0.280539304004186,88.279,9.14,64.4,21,73.9,NA,46.799999
"Vietnam","VNM","Asia",11428632,11745.7677286742,43125,44.3216855087359,97468028,308.127,32.6,7.15,4.718,75.4,6171.884,2,6,45.9,1,85.847,2.6,25.93,53.215794,2.3552859,0,1,0,0,7,1,6,3,2,8,1.5833333,1,7,21,3,6.26,1.937,64,0.704,0.218,0.42,0.20030771,-0.073430449,-0.13393196,-0.14790975,99.4,5.91789675,2.69621015,52.5936203,106.123249980733,6.15452175697011,0.185170164524225,2.05,1.97923084573928,842042370495.083,35.7,0.07789713082094,103.200498319997,27.5,3.22093436652514,75.4,-399999,44.90139008,97338583,0.904517905712374,37.34,2.27,65.3,15.9,73.7,NA,52.700001
"Wallis and Futuna","WLF","Oceania",761,0.782117163412127,7,0.00719424460431655,11627,NA,NA,NA,NA,79.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Western Sahara","ESH","Africa",NA,NA,NA,NA,565581,NA,28.4,NA,1.38,70.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"World","OWID_WRL","",606771604,623609.048304214,6507544,6688.1233299075,7909295152,58.045,30.9,8.696,5.355,72.58,15469.207,10,8.51,34.635,6.434,60.13,2.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yemen","YEM","Asia",11931,12.262076053443,2155,2.21479958890031,32981641,53.508,20.3,2.922,1.583,66.12,1479.147,18.8,5.35,29.2,7.6,49.542,0.7,5.56,69.865379,2.814832,0,0,1,0,21,3,6,3,0,2,2.9166667,1,7,23,3,5.45,3.327,0,0.47,0.111,7.581,-2.3076611,-2.6716824,-1.7765614,-1.7999074,72.7517013549805,4.88250208,0.49715802,82.03360748,NA,-1.20112022109072,0.0153522322968468,3.7,-1.5945638098916,92755610680.3175,36.7,1.28252922839207,NA,29.4,8.10472583623948,66.125,-150000,80.95723724,29825968,2.25156062737417,37.908,13.42,57.5,43.6,66.6,41.8,NA
